plz,name,lat,long,ev_count,population,area
57489,Drolshagen,51.0319018104,7.77077550561,3,11847,67.082609
51643,Gummersbach,51.0224001079,7.55206355856,3,15723,12.800714
51545,Waldbröl,50.8676998372,7.61048000165,1,19025,63.286635
55627,Merxheim,49.7903511516,7.55116647677,0,2220,23.612633
26835,"Hesel, Neukamperfehn u.a.",53.3047231389,7.60692257487,3,10496,84.292757
67756,Hinzweiler,49.5813340003,7.55647364543,0,553,10.026411
61389,Schmitten,50.2661957998,8.44768898564,1,8846,35.535132
35649,Bischoffen,50.7120208517,8.50072470522,0,3422,35.887852
68199,Mannheim,49.4533734727,8.47964148493,4,25912,10.531719
76337,Waldbronn,48.9238654549,8.46999048771,6,11786,11.341531
27639,Wurster Nordseeküste,53.7201806388,8.58205593624,4,17093,179.92406
27628,Hagen,53.348680676,8.6261649247,2,11173,195.183959
76689,Karlsdorf-Neuthard,49.1409571347,8.53649475697,4,9906,14.008617
68809,Neulußheim,49.2944502981,8.52339744532,2,6540,3.229625
76707,Hambrücken,49.1936508869,8.55128379126,1,5491,10.97796
64319,Pfungstadt,49.800336674,8.58828516518,12,23823,42.070905
69123,Heidelberg,49.4180057654,8.62466810237,3,18293,17.392849
27574,Bremerhaven,53.5286198658,8.62485252946,4,15190,13.66716
72348,Rosenfeld,48.2843859675,8.71678665107,3,6406,51.156576
60329,Frankfurt am Main,50.1071434972,8.66640350614,5,4313,0.974739
33104,Paderborn,51.7683194651,8.73067020413,4,26191,36.717057
25867,Oland,54.6795745861,8.70458851838,0,21,1.936292
78234,Engen,47.8619552728,8.77113625729,5,9973,70.479375
69517,Gorxheimertal,49.5322905479,8.7405274463,1,4106,10.374956
64807,Dieburg,49.9057789725,8.82056879697,11,14597,23.197473
64401,Groß-Bieberau,49.7881738415,8.8189217845,3,4582,18.275694
75392,Deckenpfronn,48.6494663098,8.8230696769,0,3209,11.426343
25923,"Süderlügum, Braderup u.a.",54.8607746932,8.89178046524,2,4334,80.512098
28279,Bremen,53.0397194954,8.84994640464,5,17607,10.148742
28359,Bremen,53.1025999877,8.86309829963,8,13045,7.03327
25764,Wesselburen,54.2137325648,8.91295398901,6,5782,95.317058
21762,Otterndorf,53.802641762,8.90999679077,7,7660,43.772621
61209,Echzell,50.3899123693,8.89872308867,1,5598,35.59974
74930,Ittlingen,49.1952882911,8.92779685646,0,2373,14.112579
63457,Hanau,50.1178301532,8.97941048047,3,13607,28.51586
64720,Michelstadt,49.6936009986,9.04437994358,6,16394,86.968983
78597,Irndorf,48.0756610247,8.96326880179,0,738,14.584441
28870,Ottersberg,53.1096081045,9.10977278382,7,12244,99.663155
71088,Holzgerlingen,48.640369654,9.0174022653,1,12160,12.65659
31613,Wietzen,52.6986662873,9.06861838484,2,2240,40.491458
63811,Stockstadt am Main,49.9748989014,9.05062561098,3,7512,18.854283
25770,Hemmingstedt,54.1516895477,9.08742621275,1,3330,20.666021
70771,Leinfelden-Echterdingen,48.6858314657,9.14487048904,15,36404,28.268318
71732,Tamm,48.9241234646,9.12447218485,2,12037,8.50698
74821,Mosbach,49.3812699502,9.1339847966,12,23133,62.165965
34466,Wolfhagen,51.3249895188,9.17613578849,9,12729,112.242805
31609,Balge,52.7062790102,9.16164903121,0,1878,33.24791
63776,Mömbris,50.0643427723,9.15664422183,2,11934,35.866968
25727,Süderhastedt,54.0554086899,9.19514312367,0,1774,42.418046
74382,Neckarwestheim,49.0409506027,9.20816499298,2,3435,14.018367
70184,Stuttgart,48.7645411665,9.19562684678,4,10090,4.423119
88690,Uhldingen-Mühlhofen,47.7370261515,9.24636243774,4,7809,15.610653
72654,Neckartenzlingen,48.5840458705,9.23767218543,2,6206,8.965956
31698,Lindhorst,52.3610850819,9.28845676937,2,4474,7.629577
